"Vuosi","Asuinpaikka","Kansalaisuus","Rikosryhmä","Tunnusluku","Oikeudessa tuomitut, rangaistusmääräyssakot ja rikesakot yhteensä (lkm)","Oikeudessa tuomitut (lkm)","Elinkautiseen vankeuteen tuomitut (lkm)","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen, valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen,  valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä (kk)","Yhdistelmärangaistukseen tuomitut","Ehdottomaan vankeuteen tuomitut","Valvontarangaistukseen tuomitut","Yhdyskuntapalveluun tuomitut","Ehdolliseen vankeuteen tuomitut","Aikaisempi rangaistus riittävä seuraamus","Rangaistusmääräyksellä sakkoon tuomitut (lkm)","Rangaistusmääräyksellä sakkoon tuomitut (laki: 754/2010)  (lkm)","Sakkomääräyksellä sakkoon tuomitut (lkm)","Muu seuraamus (lkm)","Rikesakko, alioikeudessa tuomitut (lkm)","Rikesakko (lkm)","Tuomitsematta jättäminen (lkm)","Syyte hylätty (lkm)","Asia rauennut (lkm)","Uhkasakko (lkm)","Syyksi luettuja rikoksia oikeudessa, rangaistusmääräyssakoissa ja rikesakoissa yhteensä (lkm)","Syyksi luettuja rikoksia oikeudessa (lkm)","Hylättyjä syytteitä yhteensä (lkm)","Rauenneita syytteitä yhteensä (lkm)"
"2011","Yhteensä","Yhteensä","Yhteensä","Rangaistusten lukumäärä",571760,63272,23,8496,0.0,0,5995,5,2496,15075,411,207679,0,0,27,382,300809,702,3251,1150,1511,638294,129864,8632,2206
"2011","Yhteensä","Yhteensä","A.Omaisuusrikokset","Rangaistusten lukumäärä",44517,14740,0,2272,0.0,0,1864,2,406,2813,237,29777,0,0,12,0,0,136,1027,319,0,70917,41164,3677,757
"2011","Yhteensä","Yhteensä","Varkaus, törkeä varkaus 28:1-2, 34a:1","Rangaistusten lukumäärä",4484,4484,0,1099,0.0,0,900,2,197,1037,101,0,0,0,7,0,0,19,214,70,0,13074,13082,1051,201
"2011","Yhteensä","Yhteensä","Näpistys 28:3","Rangaistusten lukumäärä",28628,2086,0,1,0.0,0,1,0,0,0,20,26542,0,0,0,0,0,13,80,40,0,33388,6848,214,98
"2011","Yhteensä","Yhteensä","Kavallus 28:4-6","Rangaistusten lukumäärä",545,463,0,15,0.0,0,12,0,3,197,2,82,0,0,0,0,0,1,56,16,0,892,810,113,30
"2011","Yhteensä","Yhteensä","Petos, vakuutus- ja maksuvälinepetos, maksuvälinerikos 36:1-4, 37:8-14","Rangaistusten lukumäärä",4945,3446,0,498,0.0,0,382,0,116,825,46,1499,0,0,1,0,0,39,284,89,0,10199,8707,1006,204
"2011","Yhteensä","Yhteensä","Vero- ja avustusrikokset 29:1-8","Rangaistusten lukumäärä",677,271,0,32,0.0,0,28,0,4,159,4,406,0,0,0,0,0,11,25,10,0,1158,752,128,23
"2011","Yhteensä","Yhteensä","Ryöstö, kiristys 31:1-4","Rangaistusten lukumäärä",613,612,0,329,0.0,0,298,0,31,255,3,1,0,0,2,0,0,4,39,6,0,840,839,99,8
"2011","Yhteensä","Yhteensä","Vahingonteko 35:1-3, 34a:1/3 & 1/4","Rangaistusten lukumäärä",2668,1882,0,45,0.0,0,40,0,5,84,6,786,0,0,1,0,0,34,126,45,0,5837,5054,380,100
"2011","Yhteensä","Yhteensä","Luvaton käyttö 28:7-9","Rangaistusten lukumäärä",244,191,0,25,0.0,0,20,0,5,9,14,53,0,0,0,0,0,2,8,7,0,603,550,59,17
"2011","Yhteensä","Yhteensä","Kätkemisrikos, rahanpesu 32:1-10","Rangaistusten lukumäärä",667,554,0,70,0.0,0,54,0,16,77,19,113,0,0,0,0,0,4,97,20,0,1575,1464,253,34
"2011","Yhteensä","Yhteensä","Muut omaisuusrikokset 28:10-12, 36:5-7, 39:1-6, 46:1-12","Rangaistusten lukumäärä",553,258,0,19,0.0,0,13,0,6,116,4,295,0,0,0,0,0,5,74,9,0,1105,810,217,19
"2011","Yhteensä","Yhteensä","Moottorikulkuneuvon käyttövarkaus 28:9, 34a:1§11/3","Rangaistusten lukumäärä",493,493,0,139,0.0,0,116,0,23,54,18,0,0,0,1,0,0,4,24,7,0,2246,2248,157,23
"2011","Yhteensä","Yhteensä","B.Henkeen ja terveyteen kohdistuneet rikokset","Rangaistusten lukumäärä",11477,10379,23,1511,0.0,0,1140,0,371,2229,45,1098,0,0,3,0,0,164,901,348,0,15088,13997,1640,484
"2011","Yhteensä","Yhteensä","Tappo, murha, surma, lapsensurma 21:1-4, 34a:1§1/2,6,7","Rangaistusten lukumäärä",194,194,23,152,0.0,0,152,0,0,4,0,0,0,0,0,0,0,15,10,1,0,223,223,26,2
"2011","Yhteensä","Yhteensä","Törkeä pahoinpitely, tappeluun osallistuminen 21:6,12","Rangaistusten lukumäärä",660,660,0,353,0.0,0,349,0,4,305,0,0,0,0,0,0,0,2,78,6,0,735,735,133,7
