"Vuosi","Asuinpaikka","Kansalaisuus","Rikosryhmä","Tunnusluku","Oikeudessa tuomitut, rangaistusmääräyssakot ja rikesakot yhteensä (lkm)","Oikeudessa tuomitut (lkm)","Elinkautiseen vankeuteen tuomitut (lkm)","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen, valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen,  valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä (kk)","Yhdistelmärangaistukseen tuomitut","Ehdottomaan vankeuteen tuomitut","Valvontarangaistukseen tuomitut","Yhdyskuntapalveluun tuomitut","Ehdolliseen vankeuteen tuomitut","Aikaisempi rangaistus riittävä seuraamus","Rangaistusmääräyksellä sakkoon tuomitut (lkm)","Rangaistusmääräyksellä sakkoon tuomitut (laki: 754/2010)  (lkm)","Sakkomääräyksellä sakkoon tuomitut (lkm)","Muu seuraamus (lkm)","Rikesakko, alioikeudessa tuomitut (lkm)","Rikesakko (lkm)","Tuomitsematta jättäminen (lkm)","Syyte hylätty (lkm)","Asia rauennut (lkm)","Uhkasakko (lkm)","Syyksi luettuja rikoksia oikeudessa, rangaistusmääräyssakoissa ja rikesakoissa yhteensä (lkm)","Syyksi luettuja rikoksia oikeudessa (lkm)","Hylättyjä syytteitä yhteensä (lkm)","Rauenneita syytteitä yhteensä (lkm)"
"2015","Yhteensä","Yhteensä","Yhteensä","Rangaistusten lukumäärä",474544,55292,13,7125,0.0,0,5069,236,1820,13228,372,178550,0,0,11,271,240702,470,2948,735,1473,541272,122020,8267,1731
"2015","Yhteensä","Yhteensä","A.Omaisuusrikokset","Rangaistusten lukumäärä",40716,15235,0,1962,0.0,0,1629,22,311,2930,186,25481,0,0,2,0,0,92,1024,239,0,68452,42971,3521,601
"2015","Yhteensä","Yhteensä","Varkaus, törkeä varkaus 28:1-2, 34a:1","Rangaistusten lukumäärä",3625,3625,0,878,0.0,0,733,11,134,767,75,0,0,0,0,0,0,9,188,66,0,10089,10089,833,154
"2015","Yhteensä","Yhteensä","Näpistys 28:3","Rangaistusten lukumäärä",26193,3549,0,1,0.0,0,1,0,0,0,22,22644,0,0,0,0,0,7,81,36,0,33579,10935,249,102
"2015","Yhteensä","Yhteensä","Kavallus 28:4-6","Rangaistusten lukumäärä",476,425,0,12,0.0,0,10,0,2,188,3,51,0,0,0,0,0,6,62,8,0,804,753,113,17
"2015","Yhteensä","Yhteensä","Petos, vakuutus- ja maksuvälinepetos, maksuvälinerikos 36:1-4, 37:8-14","Rangaistusten lukumäärä",5003,3867,0,482,0.0,0,365,4,113,1074,45,1136,0,0,0,0,0,27,299,50,0,13055,11919,1127,132
"2015","Yhteensä","Yhteensä","Vero- ja avustusrikokset 29:1-8","Rangaistusten lukumäärä",707,232,0,13,0.0,0,13,0,0,149,2,475,0,0,0,0,0,4,49,6,0,1132,657,163,19
"2015","Yhteensä","Yhteensä","Ryöstö, kiristys 31:1-4","Rangaistusten lukumäärä",704,704,0,367,0.0,0,341,3,23,315,0,0,0,0,2,0,0,1,63,17,0,952,952,145,26
"2015","Yhteensä","Yhteensä","Vahingonteko 35:1-3, 34a:1/3 & 1/4","Rangaistusten lukumäärä",1939,1445,0,33,0.0,0,25,0,8,93,6,494,0,0,0,0,0,22,103,25,0,4101,3607,301,89
"2015","Yhteensä","Yhteensä","Luvaton käyttö 28:7-9","Rangaistusten lukumäärä",170,129,0,8,0.0,0,8,0,0,3,3,41,0,0,0,0,0,3,13,4,0,374,333,38,11
"2015","Yhteensä","Yhteensä","Kätkemisrikos, rahanpesu 32:1-10","Rangaistusten lukumäärä",607,519,0,65,0.0,0,53,1,11,89,14,88,0,0,0,0,0,7,102,15,0,1359,1271,225,23
"2015","Yhteensä","Yhteensä","Muut omaisuusrikokset 28:10-12, 36:5-7, 39:1-6, 46:1-12","Rangaistusten lukumäärä",971,425,0,23,0.0,0,12,0,11,197,3,546,0,0,0,0,0,5,44,10,0,1514,968,202,17
"2015","Yhteensä","Yhteensä","Moottorikulkuneuvon käyttövarkaus 28:9, 34a:1§11/3","Rangaistusten lukumäärä",321,315,0,80,0.0,0,68,3,9,55,13,6,0,0,0,0,0,1,20,2,0,1493,1487,125,11
"2015","Yhteensä","Yhteensä","B.Henkeen ja terveyteen kohdistuneet rikokset","Rangaistusten lukumäärä",9021,8073,13,1164,0.0,0,872,24,268,1811,30,948,0,0,1,0,0,134,760,277,0,12360,11412,1520,436
"2015","Yhteensä","Yhteensä","Tappo, murha, surma, lapsensurma 21:1-4, 34a:1§1/2,6,7","Rangaistusten lukumäärä",147,147,13,115,0.0,0,115,0,0,4,0,0,0,0,0,0,0,15,3,0,0,178,178,21,0
"2015","Yhteensä","Yhteensä","Törkeä pahoinpitely, tappeluun osallistuminen 21:6,12","Rangaistusten lukumäärä",539,539,0,273,0.0,0,269,0,4,258,0,0,0,0,0,0,0,7,72,6,0,592,592,133,9
"2015","Yhteensä","Yhteensä","Pahoinpitely, lievä pahoinpitely 21:5,7","Rangaistusten lukumäärä",7851,7067,0,756,0.0,0,472,22,262,1505,29,784,0,0,1,0,0,110,631,260,0,10877,10093,1238,409
"2015","Yhteensä","Yhteensä","Kuolemantuottamus 21:8-9","Rangaistusten lukumäärä",66,66,0,7,0.0,0,6,1,0,17,0,0,0,0,0,0,0,1,24,4,0,85,85,44,4
"2015","Yhteensä","Yhteensä","Vammantuottamus 21:10-11","Rangaistusten lukumäärä",370,207,0,5,0.0,0,4,0,1,17,0,163,0,0,0,0,0,1,20,4,0,546,383,65,7
"2015","Yhteensä","Yhteensä","Muut henkeen ja terveyteen kohdistuvat rikokset 12:6a,13-14, 22:1-6, 34a:1§1/2","Rangaistusten lukumäärä",48,47,0,8,0.0,0,6,1,1,10,1,1,0,0,0,0,0,0,10,3,0,82,81,19,7
"2015","Yhteensä","Yhteensä","C. Seksuaalirikokset","Rangaistusten lukumäärä",557,547,0,169,0.0,0,161,0,8,340,4,10,0,0,0,0,0,4,124,4,0,928,918,226,4
