"Vuosi","Asuinpaikka","Kansalaisuus","Rikosryhmä","Tunnusluku","Oikeudessa tuomitut, rangaistusmääräyssakot ja rikesakot yhteensä (lkm)","Oikeudessa tuomitut (lkm)","Elinkautiseen vankeuteen tuomitut (lkm)","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen, valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen,  valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä (kk)","Yhdistelmärangaistukseen tuomitut","Ehdottomaan vankeuteen tuomitut","Valvontarangaistukseen tuomitut","Yhdyskuntapalveluun tuomitut","Ehdolliseen vankeuteen tuomitut","Aikaisempi rangaistus riittävä seuraamus","Rangaistusmääräyksellä sakkoon tuomitut (lkm)","Rangaistusmääräyksellä sakkoon tuomitut (laki: 754/2010)  (lkm)","Sakkomääräyksellä sakkoon tuomitut (lkm)","Muu seuraamus (lkm)","Rikesakko, alioikeudessa tuomitut (lkm)","Rikesakko (lkm)","Tuomitsematta jättäminen (lkm)","Syyte hylätty (lkm)","Asia rauennut (lkm)","Uhkasakko (lkm)","Syyksi luettuja rikoksia oikeudessa, rangaistusmääräyssakoissa ja rikesakoissa yhteensä (lkm)","Syyksi luettuja rikoksia oikeudessa (lkm)","Hylättyjä syytteitä yhteensä (lkm)","Rauenneita syytteitä yhteensä (lkm)"
"2019","Yhteensä","Yhteensä","Yhteensä","Rangaistusten lukumäärä",479951,55288,20,7007,0.0,4,5278,156,1569,12458,542,0,35863,81178,7,807,307622,377,3037,528,1679,548400,123737,8684,1507
"2019","Yhteensä","Yhteensä","A.Omaisuusrikokset","Rangaistusten lukumäärä",30233,16525,0,1858,0.0,1,1600,14,243,2942,297,0,2667,11041,2,0,0,72,951,163,0,58832,45124,3505,559
"2019","Yhteensä","Yhteensä","Varkaus, törkeä varkaus 28:1-2, 34a:1","Rangaistusten lukumäärä",3137,3137,0,780,0.0,0,685,4,91,651,105,0,0,0,0,0,0,5,172,36,0,8234,8234,848,115
"2019","Yhteensä","Yhteensä","Näpistys 28:3","Rangaistusten lukumäärä",17088,5375,0,1,0.0,0,1,0,0,0,63,0,672,11041,0,0,0,16,87,30,0,26025,14312,338,123
"2019","Yhteensä","Yhteensä","Kavallus 28:4-6","Rangaistusten lukumäärä",454,441,0,20,0.0,0,19,0,1,190,7,0,13,0,0,0,0,6,56,6,0,729,716,102,11
"2019","Yhteensä","Yhteensä","Petos, vakuutus- ja maksuvälinepetos, maksuvälinerikos 36:1-4, 37:8-14","Rangaistusten lukumäärä",4345,3877,0,458,0.0,0,366,4,88,1158,59,0,468,0,0,0,0,14,264,29,0,13730,13262,1044,126
"2019","Yhteensä","Yhteensä","Vero- ja avustusrikokset 29:1-8","Rangaistusten lukumäärä",1175,274,0,17,0.0,0,10,1,6,196,0,0,901,0,0,0,0,0,32,2,0,1783,882,105,15
"2019","Yhteensä","Yhteensä","Ryöstö, kiristys 31:1-4","Rangaistusten lukumäärä",630,630,0,348,0.0,1,332,1,14,263,1,0,0,0,2,0,0,7,64,9,0,955,955,167,16
"2019","Yhteensä","Yhteensä","Vahingonteko 35:1-3, 34a:1/3 & 1/4","Rangaistusten lukumäärä",1536,1327,0,35,0.0,0,27,0,8,70,14,0,209,0,0,0,0,18,96,17,0,3436,3227,363,68
"2019","Yhteensä","Yhteensä","Luvaton käyttö 28:7-9","Rangaistusten lukumäärä",94,86,0,14,0.0,0,13,0,1,4,5,0,8,0,0,0,0,1,8,1,0,230,222,24,10
"2019","Yhteensä","Yhteensä","Kätkemisrikos, rahanpesu 32:1-10","Rangaistusten lukumäärä",625,603,0,81,0.0,0,65,2,14,159,26,0,22,0,0,0,0,3,100,11,0,1291,1269,229,19
"2019","Yhteensä","Yhteensä","Muut omaisuusrikokset 28:10-12, 36:5-7, 39:1-6, 46:1-12","Rangaistusten lukumäärä",892,524,0,38,0.0,0,25,1,12,229,2,0,368,0,0,0,0,2,58,16,0,1477,1109,167,28
"2019","Yhteensä","Yhteensä","Moottorikulkuneuvon käyttövarkaus 28:9, 34a:1§11/3","Rangaistusten lukumäärä",257,251,0,66,0.0,0,57,1,8,22,15,0,6,0,0,0,0,0,14,6,0,942,936,118,28
"2019","Yhteensä","Yhteensä","B.Henkeen ja terveyteen kohdistuneet rikokset","Rangaistusten lukumäärä",7150,6763,20,1038,0.0,3,815,20,200,1799,33,0,386,0,1,0,1,129,772,189,0,9710,9323,1465,320
"2019","Yhteensä","Yhteensä","Tappo, murha, surma, lapsensurma 21:1-4, 34a:1§1/2,6,7","Rangaistusten lukumäärä",160,160,20,117,0.0,3,114,0,0,4,0,0,0,0,0,0,0,19,13,0,0,187,187,36,0
"2019","Yhteensä","Yhteensä","Törkeä pahoinpitely, tappeluun osallistuminen 21:6,12","Rangaistusten lukumäärä",474,474,0,247,0.0,0,243,0,4,215,0,0,0,0,1,0,0,11,43,5,0,532,532,85,14
"2019","Yhteensä","Yhteensä","Pahoinpitely, lievä pahoinpitely 21:5,7","Rangaistusten lukumäärä",6104,5807,0,655,0.0,0,441,20,194,1529,32,0,296,0,0,0,1,94,682,181,0,8388,8091,1254,298
"2019","Yhteensä","Yhteensä","Kuolemantuottamus 21:8-9","Rangaistusten lukumäärä",37,37,0,3,0.0,0,3,0,0,17,0,0,0,0,0,0,0,1,14,1,0,52,52,20,1
"2019","Yhteensä","Yhteensä","Vammantuottamus 21:10-11","Rangaistusten lukumäärä",307,217,0,8,0.0,0,7,0,1,16,0,0,90,0,0,0,0,3,13,2,0,458,368,50,7
"2019","Yhteensä","Yhteensä","Muut henkeen ja terveyteen kohdistuvat rikokset 12:6a,13-14, 22:1-6, 34a:1§1/2","Rangaistusten lukumäärä",68,68,0,8,0.0,0,7,0,1,18,1,0,0,0,0,0,0,1,7,0,0,93,93,20,0
"2019","Yhteensä","Yhteensä","C. Seksuaalirikokset","Rangaistusten lukumäärä",542,515,0,191,0.0,0,185,0,6,255,3,0,27,0,0,0,0,8,142,4,0,756,729,278,6
"2019","Yhteensä","Yhteensä","Lapsen seksuaalinen hyväksikäyttö 20:6-7","Rangaistusten lukumäärä",234,234,0,78,0.0,0,76,0,2,148,3,0,0,0,0,0,0,1,44,2,0,346,346,78,2
"2019","Yhteensä","Yhteensä","Raiskaus, törkeä raiskaus 20:1-2","Rangaistusten lukumäärä",187,187,0,107,0.0,0,106,0,1,74,0,0,0,0,0,0,0,5,82,0,0,218,218,145,0
"2019","Yhteensä","Yhteensä","Muut seksuaalirikokset 20:4-5, 8-9","Rangaistusten lukumäärä",121,94,0,6,0.0,0,3,0,3,33,0,0,27,0,0,0,0,2,16,2,0,192,165,55,4
"2019","Yhteensä","Yhteensä","D.Rikokset viranomaisia ja yleistä järjestystä vastaan, perätön lausuma","Rangaistusten lukumäärä",5734,1873,0,151,0.0,0,116,5,30,364,15,0,3854,7,1,0,0,38,130,24,0,7903,4042,419,67
"2019","Yhteensä","Yhteensä","Virkamiehen vastustaminen 16:1-2","Rangaistusten lukumäärä",1087,396,0,76,0.0,0,54,5,17,164,2,0,691,0,1,0,0,10,6,2,0,1313,622,24,3
"2019","Yhteensä","Yhteensä","Haitanteko virkamiehelle 16:3","Rangaistusten lukumäärä",873,77,0,0,0.0,0,0,0,0,0,0,0,795,1,0,0,0,4,2,0,0,1228,432,15,7
"2019","Yhteensä","Yhteensä","Perätön lausuma, väärän henkilötiedon, todistuksen antaminen 15:1-5, 16:5,8","Rangaistusten lukumäärä",352,88,0,1,0.0,0,0,0,1,15,1,0,264,0,0,0,0,0,10,2,0,656,392,25,9
"2019","Yhteensä","Yhteensä","Muut rikokset viranomaisia ja yleistä järjestystä vastaan 15:6-11, 16:4, 6-7, 9-17, 17:1-22, 34a:1§1/2","Rangaistusten lukumäärä",3422,1312,0,74,0.0,0,62,0,12,185,12,0,2104,6,0,0,0,24,112,20,0,4706,2596,355,48
"2019","Yhteensä","Yhteensä","E. Liikennerikokset","Rangaistusten lukumäärä",79799,17203,0,2532,0.0,0,1544,97,891,4892,119,0,15410,47169,0,2,17,28,199,49,0,95503,32907,632,144
"2019","Yhteensä","Yhteensä","Liikenneturvallisuuden vaarantaminen 23:1","Rangaistusten lukumäärä",51576,1106,0,46,0.0,0,38,3,5,18,9,0,6694,43761,0,2,15,11,85,6,0,54369,3899,169,20
"2019","Yhteensä","Yhteensä","Törkeä liikenneturvallisuuden vaarantaminen 23:2","Rangaistusten lukumäärä",2697,2697,0,221,0.0,0,180,1,40,348,6,0,0,0,0,0,0,3,14,2,0,3093,3093,42,6
"2019","Yhteensä","Yhteensä","Rattijuopumus 23:3","Rangaistusten lukumäärä",7598,6151,0,685,0.0,0,579,7,99,166,46,0,1447,0,0,0,0,3,25,11,0,10646,9199,133,26
"2019","Yhteensä","Yhteensä","Törkeä rattijuopumus 23:4","Rangaistusten lukumäärä",5589,5589,0,1272,0.0,0,503,75,694,4220,6,0,0,0,0,0,0,1,38,20,0,5927,5927,59,23
"2019","Yhteensä","Yhteensä","Muu liikennejuopumus 23:5-7","Rangaistusten lukumäärä",224,224,0,0,0.0,0,0,0,0,4,1,0,0,0,0,0,0,1,1,0,0,240,240,2,0
