"Vuosi","Asuinpaikka","Kansalaisuus","Rikosryhmä","Tunnusluku","Oikeudessa tuomitut, rangaistusmääräyssakot ja rikesakot yhteensä (lkm)","Oikeudessa tuomitut (lkm)","Elinkautiseen vankeuteen tuomitut (lkm)","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen, valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen,  valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä (kk)","Yhdistelmärangaistukseen tuomitut","Ehdottomaan vankeuteen tuomitut","Valvontarangaistukseen tuomitut","Yhdyskuntapalveluun tuomitut","Ehdolliseen vankeuteen tuomitut","Aikaisempi rangaistus riittävä seuraamus","Rangaistusmääräyksellä sakkoon tuomitut (lkm)","Rangaistusmääräyksellä sakkoon tuomitut (laki: 754/2010)  (lkm)","Sakkomääräyksellä sakkoon tuomitut (lkm)","Muu seuraamus (lkm)","Rikesakko, alioikeudessa tuomitut (lkm)","Rikesakko (lkm)","Tuomitsematta jättäminen (lkm)","Syyte hylätty (lkm)","Asia rauennut (lkm)","Uhkasakko (lkm)","Syyksi luettuja rikoksia oikeudessa, rangaistusmääräyssakoissa ja rikesakoissa yhteensä (lkm)","Syyksi luettuja rikoksia oikeudessa (lkm)","Hylättyjä syytteitä yhteensä (lkm)","Rauenneita syytteitä yhteensä (lkm)"
"2017","Yhteensä","Yhteensä","Vammantuottamus 21:10-11","Rangaistusten lukumäärä",316,191,0,3,0.0,0,2,0,1,18,0,14,111,0,0,0,0,4,20,2,0,489,364,56,3
"2017","Yhteensä","Yhteensä","Muut henkeen ja terveyteen kohdistuvat rikokset 12:6a,13-14, 22:1-6, 34a:1§1/2","Rangaistusten lukumäärä",55,55,0,9,0.0,0,5,1,3,19,2,0,0,0,0,0,0,1,9,0,0,102,102,28,0
"2017","Yhteensä","Yhteensä","C. Seksuaalirikokset","Rangaistusten lukumäärä",569,548,0,136,0.0,0,135,0,1,340,12,3,18,0,0,0,0,7,157,5,0,867,846,275,9
"2017","Yhteensä","Yhteensä","Lapsen seksuaalinen hyväksikäyttö 20:6-7","Rangaistusten lukumäärä",263,263,0,53,0.0,0,53,0,0,190,12,0,0,0,0,0,0,5,50,4,0,443,443,76,5
"2017","Yhteensä","Yhteensä","Raiskaus, törkeä raiskaus 20:1-2","Rangaistusten lukumäärä",185,185,0,80,0.0,0,80,0,0,103,0,0,0,0,0,0,0,2,88,0,0,213,213,151,0
"2017","Yhteensä","Yhteensä","Muut seksuaalirikokset 20:4-5, 8-9","Rangaistusten lukumäärä",121,100,0,3,0.0,0,2,0,1,47,0,3,18,0,0,0,0,0,19,1,0,211,190,48,4
"2017","Yhteensä","Yhteensä","D.Rikokset viranomaisia ja yleistä järjestystä vastaan, perätön lausuma","Rangaistusten lukumäärä",5617,1480,0,150,0.0,0,116,6,28,354,12,193,3944,0,0,0,0,24,145,28,0,7658,3521,368,51
"2017","Yhteensä","Yhteensä","Virkamiehen vastustaminen 16:1-2","Rangaistusten lukumäärä",1069,374,0,81,0.0,0,62,3,16,175,2,33,662,0,0,0,0,3,11,3,0,1281,586,35,3
"2017","Yhteensä","Yhteensä","Haitanteko virkamiehelle 16:3","Rangaistusten lukumäärä",930,62,0,0,0.0,0,0,0,0,0,0,46,822,0,0,0,0,2,3,2,0,1257,389,13,6
"2017","Yhteensä","Yhteensä","Perätön lausuma, väärän henkilötiedon, todistuksen antaminen 15:1-5, 16:5,8","Rangaistusten lukumäärä",414,97,0,7,0.0,0,7,0,0,16,3,15,302,0,0,0,0,0,16,0,0,659,342,35,4
"2017","Yhteensä","Yhteensä","Muut rikokset viranomaisia ja yleistä järjestystä vastaan 15:6-11, 16:4, 6-7, 9-17, 17:1-22, 34a:1§1/2","Rangaistusten lukumäärä",3204,947,0,62,0.0,0,47,3,12,163,7,99,2158,0,0,0,0,19,115,23,0,4461,2204,285,38
"2017","Yhteensä","Yhteensä","E. Liikennerikokset","Rangaistusten lukumäärä",83439,17276,0,2172,0.0,0,1198,120,854,5024,75,3972,13033,49139,2,0,19,24,191,32,0,98464,32301,517,114
"2017","Yhteensä","Yhteensä","Liikenneturvallisuuden vaarantaminen 23:1","Rangaistusten lukumäärä",56737,1153,0,26,0.0,0,25,0,1,9,4,3377,6729,45459,0,0,19,10,76,6,0,59533,3949,156,17
"2017","Yhteensä","Yhteensä","Törkeä liikenneturvallisuuden vaarantaminen 23:2","Rangaistusten lukumäärä",2527,2527,0,230,0.0,0,180,8,42,313,3,0,0,0,1,0,0,5,14,2,0,2977,2977,26,3
"2017","Yhteensä","Yhteensä","Rattijuopumus 23:3","Rangaistusten lukumäärä",6500,6500,0,436,0.0,0,365,11,60,115,34,0,0,0,0,0,0,2,26,9,0,9411,9411,113,30
"2017","Yhteensä","Yhteensä","Törkeä rattijuopumus 23:4","Rangaistusten lukumäärä",5913,5913,0,1305,0.0,0,489,97,719,4504,1,0,0,0,1,0,0,3,40,14,0,6231,6231,68,18
"2017","Yhteensä","Yhteensä","Muu liikennejuopumus 23:5-7","Rangaistusten lukumäärä",207,207,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,212,212,2,0
"2017","Yhteensä","Yhteensä","Kulkuneuvon luovuttaminen juopuneelle 23:8","Rangaistusten lukumäärä",250,250,0,2,0.0,0,2,0,0,1,6,0,0,0,0,0,0,0,24,0,0,297,297,44,1
"2017","Yhteensä","Yhteensä","Muut liikennerikokset 23:9-11","Rangaistusten lukumäärä",11305,726,0,173,0.0,0,137,4,32,80,27,595,6304,3680,0,0,0,4,9,1,0,19803,9224,108,45
"2017","Yhteensä","Yhteensä","F. Muut rikoslakia vastaan tehdyt rikokset","Rangaistusten lukumäärä",16997,8609,0,1135,0.0,0,953,8,174,2119,72,493,7554,11,3,1,330,87,636,90,0,31070,22682,1856,268
"2017","Yhteensä","Yhteensä","Aserikokset, terveyttä ja turvallisuutta vaarantavat rikokset 41, 44 luku","Rangaistusten lukumäärä",4361,1305,0,118,0.0,0,95,1,22,116,19,232,2486,11,0,1,327,18,59,6,0,6710,3654,203,29
"2017","Yhteensä","Yhteensä","Tuhotyö, liikennetuhotyö 34:1-3, 34a:1§1/3,5","Rangaistusten lukumäärä",44,44,0,16,0.0,0,15,0,1,24,0,0,0,0,0,0,0,4,13,0,0,58,58,24,0
"2017","Yhteensä","Yhteensä","Väärennys, rahan väärennys 33:1-5, 37:1-7","Rangaistusten lukumäärä",519,339,0,52,0.0,0,41,1,10,70,9,17,163,0,0,0,0,4,47,4,0,1447,1267,138,13
"2017","Yhteensä","Yhteensä","Sotilasrikokset 45 luku","Rangaistusten lukumäärä",340,340,0,5,0.0,0,1,1,3,117,0,0,0,0,1,0,0,7,9,1,0,406,406,14,1
"2017","Yhteensä","Yhteensä","Työrikokset 47 luku","Rangaistusten lukumäärä",145,139,0,0,0.0,0,0,0,0,4,0,1,5,0,0,0,0,5,59,1,0,168,162,67,2
"2017","Yhteensä","Yhteensä","Ympäristörikokset 48 luku, 34a:1§1/4","Rangaistusten lukumäärä",97,53,0,1,0.0,0,0,0,1,14,0,4,40,0,0,0,0,1,19,1,0,108,64,25,1
"2017","Yhteensä","Yhteensä","Alkoholirikokset 50a luku","Rangaistusten lukumäärä",420,28,0,3,0.0,0,2,0,1,6,0,50,341,0,0,0,1,0,7,0,0,451,59,19,0
"2017","Yhteensä","Yhteensä","Huumausainerikokset 50 luku","Rangaistusten lukumäärä",9115,4504,0,746,0.0,0,634,5,107,1177,33,180,4429,0,0,0,2,22,157,29,0,17154,12543,489,91
"2017","Yhteensä","Yhteensä","Muut 11-14,18,24,25,30,38,40,48a,49,51 luvut, 34:4-11, 34a:1§1/1,3-5, 34a:2-5","Rangaistusten lukumäärä",1956,1857,0,194,0.0,0,165,0,29,591,11,9,90,0,2,0,0,26,266,48,0,4568,4469,877,131
"2017","Yhteensä","Yhteensä","G. Muita lakeja vastaan tehdyt rikokset","Rangaistusten lukumäärä",367764,2544,0,28,0.0,0,0,28,0,0,1,3175,5288,26506,0,385,330251,27,92,10,1433,371790,6570,216,49
"2017","Yhteensä","Yhteensä","Alkoholilaki 50a:4,6","Rangaistusten lukumäärä",715,7,0,0,0.0,0,0,0,0,0,0,15,22,1,0,3,670,0,0,0,0,758,50,1,1
"2017","Yhteensä","Yhteensä","Tieliikennelaki 103§, 105a§, Ajoneuvolaki 96§, Ajokorttilaki 93§, 94§","Rangaistusten lukumäärä",354433,771,0,0,0.0,0,0,0,0,0,1,2352,321,23655,0,369,327334,17,53,7,0,356974,3312,129,28
"2017","Yhteensä","Yhteensä","Laki järjestyksenvalvojista 26§, Kokoontumislaki 26§","Rangaistusten lukumäärä",36,1,0,0,0.0,0,0,0,0,0,0,1,34,0,0,0,0,0,3,0,0,40,5,3,0
"2017","Yhteensä","Yhteensä","Oikeudenkäymiskaari 17:36, Laki oikeudenkäynnistä rikosasioissa 8:4-5","Rangaistusten lukumäärä",1433,1433,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1433,2021,2021,0,0
"2017","Yhteensä","Yhteensä","Rikokset muita lakeja ja asetuksia vastaan","Rangaistusten lukumäärä",11147,332,0,28,0.0,0,0,28,0,0,0,807,4911,2850,0,13,2247,10,36,3,0,11997,1182,83,20
"2017","Yhteensä","Yhteensä","Rikosnimike tuntematon","Rangaistusten lukumäärä",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,1,0
"2017","Yhteensä","Suomi","Yhteensä","Rangaistusten lukumäärä",473171,46025,8,6013,0.0,0,4394,186,1433,10415,426,7201,27022,75374,9,357,317549,304,2489,366,1287,535173,108027,7107,997
"2017","Yhteensä","Suomi","A.Omaisuusrikokset","Rangaistusten lukumäärä",24883,12960,0,1778,0.0,0,1506,16,256,2235,228,553,2049,9319,4,0,2,57,787,108,0,51754,39831,2975,372
"2017","Yhteensä","Suomi","Varkaus, törkeä varkaus 28:1-2, 34a:1","Rangaistusten lukumäärä",2503,2503,0,760,0.0,0,661,7,92,395,76,0,0,0,2,0,0,7,149,22,0,6915,6915,683,69
"2017","Yhteensä","Suomi","Näpistys 28:3","Rangaistusten lukumäärä",14222,3795,0,1,0.0,0,0,0,1,0,40,474,636,9316,0,0,1,15,77,26,0,22706,12279,301,80
"2017","Yhteensä","Suomi","Kavallus 28:4-6","Rangaistusten lukumäärä",430,409,0,11,0.0,0,10,0,1,210,3,0,20,1,0,0,0,5,50,4,0,725,704,102,9
"2017","Yhteensä","Suomi","Petos, vakuutus- ja maksuvälinepetos, maksuvälinerikos 36:1-4, 37:8-14","Rangaistusten lukumäärä",3699,3217,0,488,0.0,0,368,7,113,947,57,32,450,0,0,0,0,10,217,22,0,12821,12339,855,80
"2017","Yhteensä","Suomi","Vero- ja avustusrikokset 29:1-8","Rangaistusten lukumäärä",693,141,0,7,0.0,0,6,0,1,105,0,22,530,0,0,0,0,1,25,2,0,1081,529,127,5
"2017","Yhteensä","Suomi","Ryöstö, kiristys 31:1-4","Rangaistusten lukumäärä",527,527,0,312,0.0,0,300,0,12,202,0,0,0,0,2,0,0,2,32,5,0,727,727,118,14
"2017","Yhteensä","Suomi","Vahingonteko 35:1-3, 34a:1/3 & 1/4","Rangaistusten lukumäärä",1384,1156,0,40,0.0,0,35,0,5,57,17,11,214,2,0,0,1,13,64,13,0,3042,2814,282,63
"2017","Yhteensä","Suomi","Luvaton käyttö 28:7-9","Rangaistusten lukumäärä",97,82,0,13,0.0,0,13,0,0,7,6,0,15,0,0,0,0,0,8,2,0,263,248,26,5
"2017","Yhteensä","Suomi","Kätkemisrikos, rahanpesu 32:1-10","Rangaistusten lukumäärä",509,485,0,62,0.0,0,48,1,13,93,12,0,24,0,0,0,0,3,98,2,0,1239,1215,216,11
"2017","Yhteensä","Suomi","Muut omaisuusrikokset 28:10-12, 36:5-7, 39:1-6, 46:1-12","Rangaistusten lukumäärä",571,399,0,29,0.0,0,19,1,9,185,3,14,158,0,0,0,0,1,52,6,0,1186,1014,158,20
"2017","Yhteensä","Suomi","Moottorikulkuneuvon käyttövarkaus 28:9, 34a:1§11/3","Rangaistusten lukumäärä",248,246,0,55,0.0,0,46,0,9,34,14,0,2,0,0,0,0,0,15,4,0,1049,1047,107,16
"2017","Yhteensä","Suomi","B.Henkeen ja terveyteen kohdistuneet rikokset","Rangaistusten lukumäärä",6595,6133,8,918,0.0,0,716,14,188,1495,29,39,423,0,1,0,0,101,668,135,0,9072,8610,1321,231
"2017","Yhteensä","Suomi","Tappo, murha, surma, lapsensurma 21:1-4, 34a:1§1/2,6,7","Rangaistusten lukumäärä",159,159,8,129,0.0,0,129,0,0,2,0,0,0,0,0,0,0,20,10,0,0,189,189,37,0
"2017","Yhteensä","Suomi","Törkeä pahoinpitely, tappeluun osallistuminen 21:6,12","Rangaistusten lukumäärä",442,442,0,225,0.0,0,222,0,3,214,0,0,0,0,0,0,0,3,42,2,0,498,498,97,5
"2017","Yhteensä","Suomi","Pahoinpitely, lievä pahoinpitely 21:5,7","Rangaistusten lukumäärä",5593,5247,0,547,0.0,0,353,13,181,1227,28,26,320,0,1,0,0,73,576,131,0,7756,7410,1087,223
"2017","Yhteensä","Suomi","Kuolemantuottamus 21:8-9","Rangaistusten lukumäärä",57,57,0,5,0.0,0,5,0,0,16,0,0,0,0,0,0,0,2,13,1,0,71,71,19,1
"2017","Yhteensä","Suomi","Vammantuottamus 21:10-11","Rangaistusten lukumäärä",293,177,0,3,0.0,0,2,0,1,18,0,13,103,0,0,0,0,2,19,1,0,461,345,55,2
"2017","Yhteensä","Suomi","Muut henkeen ja terveyteen kohdistuvat rikokset 12:6a,13-14, 22:1-6, 34a:1§1/2","Rangaistusten lukumäärä",51,51,0,9,0.0,0,5,1,3,18,1,0,0,0,0,0,0,1,8,0,0,97,97,26,0
"2017","Yhteensä","Suomi","C. Seksuaalirikokset","Rangaistusten lukumäärä",445,430,0,97,0.0,0,96,0,1,272,12,2,13,0,0,0,0,6,126,3,0,700,685,233,6
"2017","Yhteensä","Suomi","Lapsen seksuaalinen hyväksikäyttö 20:6-7","Rangaistusten lukumäärä",222,222,0,44,0.0,0,44,0,0,158,12,0,0,0,0,0,0,5,45,2,0,385,385,69,2
"2017","Yhteensä","Suomi","Raiskaus, törkeä raiskaus 20:1-2","Rangaistusten lukumäärä",130,130,0,51,0.0,0,51,0,0,78,0,0,0,0,0,0,0,1,66,0,0,150,150,125,0
"2017","Yhteensä","Suomi","Muut seksuaalirikokset 20:4-5, 8-9","Rangaistusten lukumäärä",93,78,0,2,0.0,0,1,0,1,36,0,2,13,0,0,0,0,0,15,1,0,165,150,39,4
"2017","Yhteensä","Suomi","D.Rikokset viranomaisia ja yleistä järjestystä vastaan, perätön lausuma","Rangaistusten lukumäärä",4694,1283,0,137,0.0,0,103,6,28,293,11,169,3242,0,0,0,0,17,120,17,0,6478,3067,306,31
"2017","Yhteensä","Suomi","Virkamiehen vastustaminen 16:1-2","Rangaistusten lukumäärä",933,339,0,75,0.0,0,56,3,16,155,2,29,565,0,0,0,0,2,10,2,0,1125,531,29,2
"2017","Yhteensä","Suomi","Haitanteko virkamiehelle 16:3","Rangaistusten lukumäärä",830,53,0,0,0.0,0,0,0,0,0,0,41,736,0,0,0,0,2,1,0,0,1123,346,10,2
"2017","Yhteensä","Suomi","Perätön lausuma, väärän henkilötiedon, todistuksen antaminen 15:1-5, 16:5,8","Rangaistusten lukumäärä",302,70,0,7,0.0,0,7,0,0,11,2,15,217,0,0,0,0,0,15,0,0,499,267,29,0
"2017","Yhteensä","Suomi","Muut rikokset viranomaisia ja yleistä järjestystä vastaan 15:6-11, 16:4, 6-7, 9-17, 17:1-22, 34a:1§1/2","Rangaistusten lukumäärä",2629,821,0,55,0.0,0,40,3,12,127,7,84,1724,0,0,0,0,13,94,15,0,3731,1923,238,27
"2017","Yhteensä","Suomi","E. Liikennerikokset","Rangaistusten lukumäärä",74457,15352,0,2056,0.0,0,1154,114,788,4243,73,3531,11597,43959,1,0,18,19,155,21,0,88301,29196,438,88
"2017","Yhteensä","Suomi","Liikenneturvallisuuden vaarantaminen 23:1","Rangaistusten lukumäärä",50812,1053,0,26,0.0,0,25,0,1,8,4,3015,5871,40855,0,0,18,7,70,5,0,53314,3555,143,12
