"Vuosi","Asuinpaikka","Kansalaisuus","Rikosryhmä","Tunnusluku","Oikeudessa tuomitut, rangaistusmääräyssakot ja rikesakot yhteensä (lkm)","Oikeudessa tuomitut (lkm)","Elinkautiseen vankeuteen tuomitut (lkm)","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen, valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen,  valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä (kk)","Yhdistelmärangaistukseen tuomitut","Ehdottomaan vankeuteen tuomitut","Valvontarangaistukseen tuomitut","Yhdyskuntapalveluun tuomitut","Ehdolliseen vankeuteen tuomitut","Aikaisempi rangaistus riittävä seuraamus","Rangaistusmääräyksellä sakkoon tuomitut (lkm)","Rangaistusmääräyksellä sakkoon tuomitut (laki: 754/2010)  (lkm)","Sakkomääräyksellä sakkoon tuomitut (lkm)","Muu seuraamus (lkm)","Rikesakko, alioikeudessa tuomitut (lkm)","Rikesakko (lkm)","Tuomitsematta jättäminen (lkm)","Syyte hylätty (lkm)","Asia rauennut (lkm)","Uhkasakko (lkm)","Syyksi luettuja rikoksia oikeudessa, rangaistusmääräyssakoissa ja rikesakoissa yhteensä (lkm)","Syyksi luettuja rikoksia oikeudessa (lkm)","Hylättyjä syytteitä yhteensä (lkm)","Rauenneita syytteitä yhteensä (lkm)"
"2013","Yhteensä","Yhteensä","Yhteensä","Rangaistusten lukumäärä",490412,57296,19,7393,0.0,0,5089,204,2100,13813,367,179184,0,0,13,199,253932,595,3335,871,1151,552752,119647,8881,1791
"2013","Yhteensä","Yhteensä","A.Omaisuusrikokset","Rangaistusten lukumäärä",39590,14264,0,1930,0.0,0,1603,21,306,2728,197,25326,0,0,6,0,0,121,1019,215,0,64986,39664,3533,537
"2013","Yhteensä","Yhteensä","Varkaus, törkeä varkaus 28:1-2, 34a:1","Rangaistusten lukumäärä",3736,3733,0,910,0.0,0,761,7,142,868,77,3,0,0,2,0,0,18,228,58,0,11135,11133,1085,120
"2013","Yhteensä","Yhteensä","Näpistys 28:3","Rangaistusten lukumäärä",25517,2788,0,1,0.0,0,1,0,0,0,23,22729,0,0,0,0,0,13,84,28,0,31187,8458,269,103
"2013","Yhteensä","Yhteensä","Kavallus 28:4-6","Rangaistusten lukumäärä",536,453,0,17,0.0,0,12,0,5,197,1,83,0,0,0,0,0,3,52,19,0,847,764,111,24
"2013","Yhteensä","Yhteensä","Petos, vakuutus- ja maksuvälinepetos, maksuvälinerikos 36:1-4, 37:8-14","Rangaistusten lukumäärä",4614,3464,0,427,0.0,0,330,11,86,890,44,1150,0,0,1,0,0,30,312,40,0,10804,9657,856,83
"2013","Yhteensä","Yhteensä","Vero- ja avustusrikokset 29:1-8","Rangaistusten lukumäärä",475,192,0,22,0.0,0,20,0,2,129,0,283,0,0,0,0,0,1,39,8,0,796,513,146,40
"2013","Yhteensä","Yhteensä","Ryöstö, kiristys 31:1-4","Rangaistusten lukumäärä",588,588,0,337,0.0,0,307,1,29,232,2,0,0,0,3,0,0,5,45,9,0,762,762,99,10
"2013","Yhteensä","Yhteensä","Vahingonteko 35:1-3, 34a:1/3 & 1/4","Rangaistusten lukumäärä",2268,1701,0,47,0.0,0,32,1,14,119,18,567,0,0,0,0,0,32,105,33,0,4780,4213,389,93
"2013","Yhteensä","Yhteensä","Luvaton käyttö 28:7-9","Rangaistusten lukumäärä",165,128,0,7,0.0,0,6,0,1,8,6,37,0,0,0,0,0,2,11,6,0,449,412,45,11
