"Vuosi","Asuinpaikka","Kansalaisuus","Rikosryhmä","Tunnusluku","Oikeudessa tuomitut, rangaistusmääräyssakot ja rikesakot yhteensä (lkm)","Oikeudessa tuomitut (lkm)","Elinkautiseen vankeuteen tuomitut (lkm)","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen, valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen,  valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä (kk)","Yhdistelmärangaistukseen tuomitut","Ehdottomaan vankeuteen tuomitut","Valvontarangaistukseen tuomitut","Yhdyskuntapalveluun tuomitut","Ehdolliseen vankeuteen tuomitut","Aikaisempi rangaistus riittävä seuraamus","Rangaistusmääräyksellä sakkoon tuomitut (lkm)","Rangaistusmääräyksellä sakkoon tuomitut (laki: 754/2010)  (lkm)","Sakkomääräyksellä sakkoon tuomitut (lkm)","Muu seuraamus (lkm)","Rikesakko, alioikeudessa tuomitut (lkm)","Rikesakko (lkm)","Tuomitsematta jättäminen (lkm)","Syyte hylätty (lkm)","Asia rauennut (lkm)","Uhkasakko (lkm)","Syyksi luettuja rikoksia oikeudessa, rangaistusmääräyssakoissa ja rikesakoissa yhteensä (lkm)","Syyksi luettuja rikoksia oikeudessa (lkm)","Hylättyjä syytteitä yhteensä (lkm)","Rauenneita syytteitä yhteensä (lkm)"
"2009","Yhteensä","Yhteensä","Yhteensä","Rangaistusten lukumäärä",548695,65588,13,9578,0.0,0,6657,0,2921,15594,318,208983,0,0,27,336,274124,767,3323,1045,1478,618674,135593,8912,1933
"2009","Yhteensä","Yhteensä","A.Omaisuusrikokset","Rangaistusten lukumäärä",43790,14767,0,2554,0.0,0,2082,0,472,3005,193,29023,0,0,8,0,0,135,1061,281,0,70930,41916,3828,601
"2009","Yhteensä","Yhteensä","Varkaus, törkeä varkaus 28:1-2, 34a:1","Rangaistusten lukumäärä",4518,4518,0,1263,0.0,0,1031,0,232,991,74,0,0,0,3,0,0,13,223,47,0,13733,13736,1151,116
"2009","Yhteensä","Yhteensä","Näpistys 28:3","Rangaistusten lukumäärä",27202,1321,0,0,0.0,0,0,0,0,0,14,25881,0,0,0,0,0,13,52,25,0,31090,5211,182,63
"2009","Yhteensä","Yhteensä","Kavallus 28:4-6","Rangaistusten lukumäärä",603,457,0,19,0.0,0,12,0,7,162,2,146,0,0,0,0,0,10,65,13,0,1015,869,127,17
"2009","Yhteensä","Yhteensä","Petos, vakuutus- ja maksuvälinepetos, maksuvälinerikos 36:1-4, 37:8-14","Rangaistusten lukumäärä",4750,3430,0,523,0.0,0,412,0,111,856,42,1320,0,0,1,0,0,33,285,53,0,9636,8317,942,90
"2009","Yhteensä","Yhteensä","Vero- ja avustusrikokset 29:1-8","Rangaistusten lukumäärä",926,493,0,56,0.0,0,47,0,9,331,2,433,0,0,0,0,0,2,48,15,0,1588,1155,161,36
"2009","Yhteensä","Yhteensä","Ryöstö, kiristys 31:1-4","Rangaistusten lukumäärä",565,565,0,326,0.0,0,293,0,33,228,0,0,0,0,3,0,0,1,49,18,0,704,704,112,25
"2009","Yhteensä","Yhteensä","Vahingonteko 35:1-3, 34a:1/3 & 1/4","Rangaistusten lukumäärä",3038,2176,0,55,0.0,0,43,0,12,85,11,862,0,0,1,0,0,35,132,73,0,6436,5575,431,148
"2009","Yhteensä","Yhteensä","Luvaton käyttö 28:7-9","Rangaistusten lukumäärä",269,213,0,22,0.0,0,18,0,4,9,10,56,0,0,0,0,0,4,11,8,0,656,600,73,16
"2009","Yhteensä","Yhteensä","Kätkemisrikos, rahanpesu 32:1-10","Rangaistusten lukumäärä",720,599,0,74,0.0,0,60,0,14,88,14,121,0,0,0,0,0,11,96,16,0,1693,1572,260,28
"2009","Yhteensä","Yhteensä","Muut omaisuusrikokset 28:10-12, 36:5-7, 39:1-6, 46:1-12","Rangaistusten lukumäärä",548,348,0,26,0.0,0,14,0,12,164,3,200,0,0,0,0,0,5,73,7,0,1191,991,182,26
"2009","Yhteensä","Yhteensä","Moottorikulkuneuvon käyttövarkaus 28:9, 34a:1§11/3","Rangaistusten lukumäärä",651,647,0,190,0.0,0,152,0,38,91,21,4,0,0,0,0,0,8,27,6,0,3188,3186,207,36
"2009","Yhteensä","Yhteensä","B.Henkeen ja terveyteen kohdistuneet rikokset","Rangaistusten lukumäärä",11183,10424,13,1678,0.0,0,1272,0,406,2365,32,759,0,0,7,0,0,181,871,268,0,14891,14135,1595,360
"2009","Yhteensä","Yhteensä","Tappo, murha, surma, lapsensurma 21:1-4, 34a:1§1/2,6,7","Rangaistusten lukumäärä",187,187,13,159,0.0,0,159,0,0,3,1,0,0,0,0,0,0,11,2,0,0,217,217,16,0
"2009","Yhteensä","Yhteensä","Törkeä pahoinpitely, tappeluun osallistuminen 21:6,12","Rangaistusten lukumäärä",727,727,0,393,0.0,0,393,0,0,318,0,0,0,0,3,0,0,12,72,5,0,803,803,126,9
"2009","Yhteensä","Yhteensä","Pahoinpitely, lievä pahoinpitely 21:5,7","Rangaistusten lukumäärä",9713,9098,0,1103,0.0,0,701,0,402,1989,31,615,0,0,4,0,0,151,727,256,0,13024,12412,1297,337
"2009","Yhteensä","Yhteensä","Kuolemantuottamus 21:8-9","Rangaistusten lukumäärä",99,99,0,9,0.0,0,9,0,0,25,0,0,0,0,0,0,0,4,34,1,0,124,124,55,1
"2009","Yhteensä","Yhteensä","Vammantuottamus 21:10-11","Rangaistusten lukumäärä",385,241,0,4,0.0,0,4,0,0,10,0,144,0,0,0,0,0,2,21,6,0,607,463,68,12
"2009","Yhteensä","Yhteensä","Muut henkeen ja terveyteen kohdistuvat rikokset 12:6a,13-14, 22:1-6, 34a:1§1/2","Rangaistusten lukumäärä",72,72,0,10,0.0,0,6,0,4,20,0,0,0,0,0,0,0,1,15,0,0,116,116,33,1
"2009","Yhteensä","Yhteensä","C. Seksuaalirikokset","Rangaistusten lukumäärä",545,545,0,142,0.0,0,131,0,11,333,1,0,0,0,0,0,0,4,116,5,0,851,851,197,6
"2009","Yhteensä","Yhteensä","Lapsen seksuaalinen hyväksikäyttö 20:6-7","Rangaistusten lukumäärä",279,279,0,72,0.0,0,66,0,6,199,0,0,0,0,0,0,0,3,55,3,0,484,484,83,3
"2009","Yhteensä","Yhteensä","Raiskaus, törkeä raiskaus 20:1-2","Rangaistusten lukumäärä",119,119,0,60,0.0,0,58,0,2,58,0,0,0,0,0,0,0,1,29,1,0,154,154,52,1
"2009","Yhteensä","Yhteensä","Muut seksuaalirikokset 20:4-5, 8-9","Rangaistusten lukumäärä",147,147,0,10,0.0,0,7,0,3,76,1,0,0,0,0,0,0,0,32,1,0,213,213,62,2
"2009","Yhteensä","Yhteensä","D.Rikokset viranomaisia ja yleistä järjestystä vastaan, perätön lausuma","Rangaistusten lukumäärä",7388,1937,0,221,0.0,0,150,0,71,393,4,5451,0,0,0,0,0,68,169,32,0,9517,4066,430,83
"2009","Yhteensä","Yhteensä","Virkamiehen vastustaminen 16:1-2","Rangaistusten lukumäärä",1162,401,0,120,0.0,0,78,0,42,150,1,761,0,0,0,0,0,4,4,3,0,1364,603,23,4
"2009","Yhteensä","Yhteensä","Haitanteko virkamiehelle 16:3","Rangaistusten lukumäärä",1419,66,0,0,0.0,0,0,0,0,0,0,1353,0,0,0,0,0,3,4,1,0,1816,463,15,8
"2009","Yhteensä","Yhteensä","Perätön lausuma, väärän henkilötiedon, todistuksen antaminen 15:1-5, 16:5,8","Rangaistusten lukumäärä",681,185,0,15,0.0,0,9,0,6,51,0,496,0,0,0,0,0,3,44,3,0,1017,521,80,11
"2009","Yhteensä","Yhteensä","Muut rikokset viranomaisia ja yleistä järjestystä vastaan 15:6-11, 16:4, 6-7, 9-17, 17:1-22, 34a:1§1/2","Rangaistusten lukumäärä",4126,1285,0,86,0.0,0,63,0,23,192,3,2841,0,0,0,0,0,58,117,25,0,5320,2479,312,60
"2009","Yhteensä","Yhteensä","E. Liikennerikokset","Rangaistusten lukumäärä",127849,25810,0,3804,0.0,0,2054,0,1750,7939,44,102039,0,0,2,0,0,69,367,110,0,146680,44646,812,256
"2009","Yhteensä","Yhteensä","Liikenneturvallisuuden vaarantaminen 23:1","Rangaistusten lukumäärä",91535,1858,0,26,0.0,0,20,0,6,12,4,89677,0,0,0,0,0,43,191,12,0,95866,6189,302,32
"2009","Yhteensä","Yhteensä","Törkeä liikenneturvallisuuden vaarantaminen 23:2","Rangaistusten lukumäärä",2753,2753,0,206,0.0,0,166,0,40,240,8,0,0,0,1,0,0,4,18,2,0,3402,3402,36,7
"2009","Yhteensä","Yhteensä","Rattijuopumus 23:3","Rangaistusten lukumäärä",8415,8415,0,384,0.0,0,307,0,77,82,10,0,0,0,0,0,0,10,38,36,0,10853,10854,131,62
"2009","Yhteensä","Yhteensä","Törkeä rattijuopumus 23:4","Rangaistusten lukumäärä",10902,10902,0,3037,0.0,0,1449,0,1588,7523,6,0,0,0,1,0,0,6,52,39,0,11600,11600,90,44
"2009","Yhteensä","Yhteensä","Muu liikennejuopumus 23:5-7","Rangaistusten lukumäärä",474,474,0,5,0.0,0,3,0,2,14,0,0,0,0,0,0,0,0,7,1,0,494,494,8,2
"2009","Yhteensä","Yhteensä","Kulkuneuvon luovuttaminen juopuneelle 23:8","Rangaistusten lukumäärä",812,812,0,0,0.0,0,0,0,0,2,1,0,0,0,0,0,0,1,51,12,0,960,960,81,16
"2009","Yhteensä","Yhteensä","Muut liikennerikokset 23:9-11","Rangaistusten lukumäärä",12958,596,0,146,0.0,0,109,0,37,66,15,12362,0,0,0,0,0,5,10,8,0,23505,11147,164,93
"2009","Yhteensä","Yhteensä","F. Muut rikoslakia vastaan tehdyt rikokset","Rangaistusten lukumäärä",15692,8754,0,1144,0.0,0,935,0,209,1538,44,6921,0,0,10,0,17,181,581,165,0,26184,19255,1662,369
"2009","Yhteensä","Yhteensä","Aserikokset, terveyttä ja turvallisuutta vaarantavat rikokset 41, 44 luku","Rangaistusten lukumäärä",4562,1533,0,86,0.0,0,62,0,24,89,6,3012,0,0,1,0,17,38,42,17,0,6631,3603,147,34
"2009","Yhteensä","Yhteensä","Tuhotyö, liikennetuhotyö 34:1-3, 34a:1§1/3,5","Rangaistusten lukumäärä",75,75,0,20,0.0,0,18,0,2,52,0,0,0,0,0,0,0,3,6,1,0,87,87,10,1
"2009","Yhteensä","Yhteensä","Väärennys, rahan väärennys 33:1-5, 37:1-7","Rangaistusten lukumäärä",1200,811,0,130,0.0,0,104,0,26,173,14,389,0,0,0,0,0,14,54,15,0,2336,1948,134,35
"2009","Yhteensä","Yhteensä","Sotilasrikokset 45 luku","Rangaistusten lukumäärä",362,358,0,2,0.0,0,1,0,1,88,0,4,0,0,5,0,0,16,13,4,0,473,470,23,4
"2009","Yhteensä","Yhteensä","Työrikokset 47 luku","Rangaistusten lukumäärä",251,243,0,0,0.0,0,0,0,0,3,0,8,0,0,0,0,0,5,51,2,0,275,267,76,10
"2009","Yhteensä","Yhteensä","Ympäristörikokset 48 luku, 34a:1§1/4","Rangaistusten lukumäärä",76,56,0,0,0.0,0,0,0,0,5,0,20,0,0,0,0,0,3,9,1,0,87,67,13,1
"2009","Yhteensä","Yhteensä","Alkoholirikokset 50a luku","Rangaistusten lukumäärä",47,0,0,0,0.0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,47,0,0,0
"2009","Yhteensä","Yhteensä","Huumausainerikokset 50 luku","Rangaistusten lukumäärä",6620,3326,0,615,0.0,0,530,0,85,581,18,3294,0,0,0,0,0,33,63,27,0,10937,7648,275,78
"2009","Yhteensä","Yhteensä","Muut 11-14,18,24,25,30,38,40,48a,49,51 luvut, 34:4-11, 34a:1§1/1,3-5, 34a:2-5","Rangaistusten lukumäärä",2499,2352,0,291,0.0,0,220,0,71,547,6,147,0,0,4,0,0,69,343,98,0,5311,5165,984,206
"2009","Yhteensä","Yhteensä","G. Muita lakeja vastaan tehdyt rikokset","Rangaistusten lukumäärä",342248,3351,0,35,0.0,0,33,0,2,21,0,64790,0,0,0,336,274107,129,158,33,1478,349621,10724,388,91
"2009","Yhteensä","Yhteensä","Alkoholilaki 50a:4,6","Rangaistusten lukumäärä",2793,105,0,10,0.0,0,8,0,2,21,0,2688,0,0,0,0,0,5,17,4,0,2928,240,25,4
"2009","Yhteensä","Yhteensä","Tieliikennelaki 103§, 105a§, Ajoneuvolaki 96§, Ajokorttilaki 93§, 94§","Rangaistusten lukumäärä",321648,1237,0,0,0.0,0,0,0,0,0,0,50001,0,0,0,334,270410,79,74,12,0,326510,6099,224,50
"2009","Yhteensä","Yhteensä","Laki järjestyksenvalvojista 26§, Kokoontumislaki 26§","Rangaistusten lukumäärä",37,2,0,0,0.0,0,0,0,0,0,0,35,0,0,0,0,0,0,3,4,0,38,3,4,4
"2009","Yhteensä","Yhteensä","Oikeudenkäymiskaari 17:36, Laki oikeudenkäynnistä rikosasioissa 8:4-5","Rangaistusten lukumäärä",1478,1478,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478,2414,2414,0,1
"2009","Yhteensä","Yhteensä","Rikokset muita lakeja ja asetuksia vastaan","Rangaistusten lukumäärä",16292,529,0,25,0.0,0,25,0,0,0,0,12066,0,0,0,2,3697,45,64,13,0,17731,1968,135,32
"2009","Yhteensä","Yhteensä","Rikosnimike tuntematon","Rangaistusten lukumäärä",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,167
"2009","Yhteensä","Suomi","Yhteensä","Rangaistusten lukumäärä",517058,59651,13,9046,0.0,0,6258,0,2788,13583,296,191021,0,0,25,322,266386,715,2970,817,1351,581851,124467,7955,1563
"2009","Yhteensä","Suomi","A.Omaisuusrikokset","Rangaistusten lukumäärä",38619,13109,0,2369,0.0,0,1918,0,451,2348,177,25510,0,0,8,0,0,126,962,226,0,63165,37663,3374,505
"2009","Yhteensä","Suomi","Varkaus, törkeä varkaus 28:1-2, 34a:1","Rangaistusten lukumäärä",3727,3727,0,1176,0.0,0,954,0,222,733,65,0,0,0,3,0,0,13,184,33,0,11290,11292,916,90
"2009","Yhteensä","Suomi","Näpistys 28:3","Rangaistusten lukumäärä",24101,1252,0,0,0.0,0,0,0,0,0,14,22849,0,0,0,0,0,12,49,19,0,27848,5001,170,52
"2009","Yhteensä","Suomi","Kavallus 28:4-6","Rangaistusten lukumäärä",573,436,0,18,0.0,0,11,0,7,157,2,137,0,0,0,0,0,9,59,12,0,963,826,114,14
